,lat,lon,place_name,total_facility_available_name,large_range_category
45088,37.606218,127.09418899999999,봉화산주차장 화장실 화장실,장애인용 화장실,화장실
45435,37.6165543,127.05659779999999,장위3동 주민센터 화장실,장애인용 화장실,화장실
45085,37.463149,126.90603899999999,남부여성주차장 화장실 화장실,장애인용 화장실,화장실
45266,37.6066874,127.0272767,길음2동 주민센터 화장실,장애인용 화장실,화장실
45437,37.6128385,127.05600659999999,장위실버복지센터 화장실,장애인용 화장실,화장실
45441,37.6014316,127.01662830000001,정릉1동 주민센터 화장실,장애인용 화장실,화장실
45316,37.60767910000001,127.00986270000001,정릉주유소 (주)삼표에너지 화장실,장애인용 화장실,화장실
45433,37.6123831,127.05447959999998,장위2동 주민센터 화장실,장애인용 화장실,화장실
45265,37.60428510000001,127.02428490000001,길음1동분소화장실 화장실,장애인용 화장실,화장실
45431,37.614062200000006,127.0436497,장위1동 주민센터 화장실,장애인용 화장실,화장실
45351,37.589400299999994,127.0075162,삼성동 맥도날드 화장실,장애인용 화장실,화장실
45447,37.6089493,127.0041598,정릉3동 주민센터 화장실,장애인용 화장실,화장실
45486,37.5929441,127.0086314,해오름도서관화장실 화장실,장애인용 화장실,화장실
45068,37.534288000000004,126.965325,용산주차빌딩 화장실 화장실,장애인용 화장실,화장실
45489,37.5957709,127.0359956,(주)중앙에너비스 종암지점 화장실,장애인용 화장실,화장실
45495,37.5831742,127.0201909,SK네트웍스(주) 광덕주유소 화장실,장애인용 화장실,화장실
45498,37.6002049,127.07320130000001,중화동 공중화장실 화장실,장애인용 화장실,화장실
45278,37.6075901,127.0303879,뉴타운장례식장 화장실,장애인용 화장실,화장실
45281,37.6051512,127.03091609999998,달빛마루도서관 화장실 화장실,장애인용 화장실,화장실
45289,37.6146774,127.04096609999999,동방고개 공영주차장 화장실,장애인용 화장실,화장실
45501,37.5812836,127.08012,면목동 공중화장실 화장실,장애인용 화장실,화장실
45504,37.5941269,127.10962520000001,망우동 공중화장실 화장실,장애인용 화장실,화장실
45286,37.598010200000004,127.0105959,돈암2동 주민센터 화장실,장애인용 화장실,화장실
45063,37.573397,126.975866,세종로공영주차장화장실 화장실,장애인용 화장실,화장실
45509,37.6145471,127.1009378,신내동 공중화장실 화장실,장애인용 화장실,화장실
45057,37.574496,126.994045,종묘공영주차장 화장실 화장실,장애인용 화장실,화장실
45513,37.6161311,127.0736929,묵동 공중화장실 화장실,장애인용 화장실,화장실
45516,37.518519500000004,126.88652820000001,문래동 화장실,장애인용 화장실,화장실
45283,37.6034115,127.0263571,돈암1동 주민센터 화장실,장애인용 화장실,화장실
45519,37.5145502,126.90422190000001,쪽방촌 화장실,장애인용 화장실,화장실
45522,37.533159399999995,126.9064683,강마을공원 화장실,장애인용 화장실,화장실
45529,37.5296691,126.8978686,당산4가 화장실,장애인용 화장실,화장실
45536,37.5224717,126.90108670000001,조광시장 화장실,장애인용 화장실,화장실
45483,37.6207617,127.0525915,한천로 공영주차장 화장실,장애인용 화장실,화장실
45446,37.6044598,127.0111212,정릉2동 주민센터 화장실,장애인용 화장실,화장실
45071,37.519465000000004,126.902608,영남주차장 화장실 화장실,장애인용 화장실,화장실
45294,37.593976299999994,127.0203947,동선동 주민센터 화장실,장애인용 화장실,화장실
45083,37.53879000000001,126.942649,마포유수지 화장실 화장실,장애인용 화장실,화장실
45450,37.6133712,127.00698590000002,정릉4동 주민센터 화장실,장애인용 화장실,화장실
45314,37.6126901,127.00663610000001,정릉4동 교통광장 화장실,장애인용 화장실,화장실
45269,37.6040969,127.02581979999998,길음환승주차장 화장실,장애인용 화장실,화장실
45453,37.6046434,127.01085259999998,정릉도서관화장실 화장실,장애인용 화장실,화장실
45313,37.618903100000004,127.00555020000002,정릉1호 화장실,장애인용 화장실,화장실
45455,37.604263399999994,127.0113523,정릉빌딩 화장실,장애인용 화장실,화장실
45308,37.6037377,127.0439761,장위주유소 화장실,장애인용 화장실,화장실
45081,37.4866,126.83888999999999,천왕역환승센터 화장실 화장실,장애인용 화장실,화장실
45272,37.6114565,127.0138462,꿈마루도서관화장실 화장실,장애인용 화장실,화장실
45458,37.60823660000001,127.00464040000001,정릉실버복지센터 화장실,장애인용 화장실,화장실
45275,37.583735600000004,127.01991840000001,노동사목빌딩 화장실,장애인용 화장실,화장실
45303,37.6132641,127.0606212,장위가스 화장실,장애인용 화장실,화장실
45461,37.6037175,127.0430439,정평빌딩 화장실,장애인용 화장실,화장실
45076,37.577917,126.798208,개화역환승센터 화장실 화장실,장애인용 화장실,화장실
45464,37.6063894,127.03641809999999,제일빌딩 화장실,장애인용 화장실,화장실
45074,37.638085,126.919142,구파발역환승센터 화장실 화장실,장애인용 화장실,화장실
45470,37.5989907,127.03509209999999,종암동새날도서관 화장실 화장실,장애인용 화장실,화장실
45298,37.6194213,127.05406229999998,장위3동마을마당 화장실,장애인용 화장실,화장실
45473,37.61174260000001,127.0107524,청수도서관 화장실 화장실,장애인용 화장실,화장실
45475,37.6088594,127.01006809999998,청수프라자 화장실,장애인용 화장실,화장실
45478,37.6019991,127.01835829999999,커뮤니티센터 화장실,장애인용 화장실,화장실
45467,37.5990276,127.0352053,종암동 주민센터 화장실,장애인용 화장실,화장실
45246,37.5871061,127.02634109999998,고려대학교 안암병원 장례식장 화장실,장애인용 화장실,화장실
45319,37.5795083,127.0245313,제삼주유소 화장실,장애인용 화장실,화장실
45153,37.6105396,126.9939893,북악숲속 화장실,장애인용 화장실,화장실
45206,37.6203186,127.0532784,우이천 화장실,장애인용 화장실,화장실
45369,37.60692120000001,127.03066470000002,성가복지병원 화장실,장애인용 화장실,화장실
45337,37.593691299999996,127.01770959999999,롯데리아 성신여대점 화장실,장애인용 화장실,화장실
45148,37.5963421,127.02854769999999,북선 화장실,장애인용 화장실,화장실
45143,37.584858600000004,127.01991059999999,보문동 화장실,장애인용 화장실,화장실
45210,37.6079876,127.03029009999999,우일에너지 화장실,장애인용 화장실,화장실
45371,37.5936034,127.0157368,성북구 보건소 보건지소 화장실,장애인용 화장실,화장실
45138,37.6048579,127.0327834,모랫말근린공원 화장실 화장실,장애인용 화장실,화장실
45373,37.5948311,126.99487140000002,성북구립미술관 화장실 화장실,장애인용 화장실,화장실
45133,37.5829573,127.02035409999999,동일주유소 화장실,장애인용 화장실,화장실
45213,37.60919129999999,127.0100281,원천제1주유소 화장실,장애인용 화장실,화장실
45376,37.5856452,127.00744040000001,성북구민정보화센터 화장실,장애인용 화장실,화장실
45378,37.6099679,127.04194840000002,성북구민체육관 화장실 화장실,장애인용 화장실,화장실
45216,37.6066402,127.0343461,월곡1동 화장실,장애인용 화장실,화장실
45380,37.5894505,127.0168346,성북구청 화장실,장애인용 화장실,화장실
45130,37.59789470000001,127.02132209999999,돈암마을마당 화장실,장애인용 화장실,화장실
45336,37.6033305,127.0354101,효성주유소 화장실,장애인용 화장실,화장실
45222,37.6119091,127.0397597,월곡광장 화장실,장애인용 화장실,화장실
45366,37.58173729999999,127.02767220000001,석탑빌딩 화장실,장애인용 화장실,화장실
45159,37.6208844,127.00667340000001,북한산생태숲화장실 화장실,장애인용 화장실,화장실
45340,37.6134445,127.0656074,미리내도서관화장실 화장실,장애인용 화장실,화장실
45203,37.60852020000001,127.0430126,오동근린공원화장실 화장실,장애인용 화장실,화장실
45185,37.5927439,126.99124920000001,성북성터 화장실,장애인용 화장실,화장실
45189,37.587666299999995,127.01837420000001,성북주유소 화장실,장애인용 화장실,화장실
45182,37.595145,127.00759579999999,성북근린공원화장실 화장실,장애인용 화장실,화장실
45349,37.5908399,127.0146256,삼선동 주민센터 화장실,장애인용 화장실,화장실
45179,37.59632620000001,126.9936904,성북2동 화장실,장애인용 화장실,화장실
45192,37.6088433,127.02924809999999,세창주유소 화장실,장애인용 화장실,화장실
45354,37.6058467,127.0482662,상월곡실버복지센터 화장실,장애인용 화장실,화장실
45176,37.607231299999995,127.05056370000001,새천년주유소 화장실,장애인용 화장실,화장실
45195,37.61347420000001,127.03816470000001,신동방석유㈜ 화장실,장애인용 화장실,화장실
45383,37.5977829,127.03439209999999,성북노인종합복지관 화장실,장애인용 화장실,화장실
45346,37.6025791,126.99802079999999,북악골프 화장실,장애인용 화장실,화장실
45173,37.6091998,127.0454537,상월곡동 화장실,장애인용 화장실,화장실
45342,37.580368299999996,127.02278740000001,보문동주민센터 화장실,장애인용 화장실,화장실
45167,37.587976399999995,127.00552140000002,삼선주유소 화장실,장애인용 화장실,화장실
45197,37.606899799999994,127.05007309999999,신명에너지㈜ 화랑로주유소 화장실,장애인용 화장실,화장실
45360,37.608760499999995,127.0524081,석관동 우체국 화장실,장애인용 화장실,화장실
45162,37.5832289,127.01037659999999,삼선어린이공원 화장실 화장실,장애인용 화장실,화장실
45200,37.58559210000001,127.02172309999999,안암동 화장실,장애인용 화장실,화장실
45362,37.6129659,127.0614051,석관동 주민센터 화장실,장애인용 화장실,화장실
45364,37.6067055,127.05822830000001,석관실버복지센터화장실 화장실,장애인용 화장실,화장실
45357,37.578683500000004,127.0226131,서광빌딩 화장실,장애인용 화장실,화장실
45428,37.6054844,127.05769709999998,의릉관리사무소 화장실,장애인용 화장실,화장실
